lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000,sample size 6000,sample size 7000,sample size 8000,sample size 9000,sample size 10000,sample size 11000,sample size 12000,sample size 13000,sample size 14000,sample size 15000,sample size 16000,sample size 17000,sample size 18000,sample size 19000,sample size 20000
lag 0,0.481856,0.24096399999999998,0.1606506666666667,0.120491,0.09639424,0.08032933333333334,0.06885420408163265,0.060247749999999996,0.05355377777777778,0.04819856,0.04381699173553719,0.04016566666666667,0.03707607100591716,0.03442783673469388,0.03213269333333333,0.0301244375,0.028352442906574394,0.026777333333333334,0.02536802216066482,0.02409964
lag 1,0.48137399999999997,0.2408435,0.16059711111111113,0.120460875,0.09637496,0.08031594444444445,0.06884436734693877,0.06024021875,0.053547827160493826,0.04819374,0.04381300826446281,0.04016231944444445,0.037073218934911244,0.0344253775510204,0.032130551111111114,0.0301225546875,0.02835077508650519,0.026775845679012346,0.025366686980609416,0.024098435
lag 2,0.480892,0.240723,0.16054355555555558,0.12043074999999999,0.09635568,0.08030255555555556,0.0688345306122449,0.0602326875,0.05354187654320988,0.04818892,0.04380902479338843,0.04015897222222223,0.03707036686390532,0.034422918367346934,0.03212840888888889,0.030120671874999998,0.028349107266435986,0.026774358024691358,0.025365351800554017,0.02409723
