lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000,sample size 6000,sample size 7000,sample size 8000,sample size 9000,sample size 10000,sample size 11000,sample size 12000,sample size 13000,sample size 14000,sample size 15000,sample size 16000,sample size 17000,sample size 18000,sample size 19000,sample size 20000
lag 0,0.512858252,0.261410359,0.179222887,0.136581653,0.104559438,0.088125669,0.07013091,0.065123184,0.057166999,0.053739331,0.046054606,0.044898516,0.04505671,0.035188299,0.034007879,0.031655529,0.034891441,0.027620532,0.030675632,0.027025648
lag 1,0.310826321,0.159189853,0.09620452,0.073860769,0.059132252,0.048271444,0.042725126,0.040352648,0.032340104,0.030476189,0.025135534,0.026423301,0.023776502,0.019048744,0.020566324,0.017574043,0.018732777,0.016507761,0.014760556,0.014984995
lag 2,0.270713724,0.129089355,0.095837651,0.065481727,0.053303231,0.047420976,0.039301824,0.031343595,0.02898755,0.025663437,0.023679637,0.02225362,0.021543922,0.020680168,0.018888953,0.016992185,0.015088246,0.013941696,0.013055067,0.012984785
lag 3,0.277993459,0.131009966,0.088982601,0.065909046,0.053177409,0.042605838,0.03813928,0.033729806,0.02676791,0.026692125,0.023427055,0.022820264,0.020398651,0.019929876,0.017541183,0.015929251,0.015204009,0.0145946,0.014286883,0.013938484
lag 4,0.280926416,0.131610447,0.092995166,0.067108153,0.056643521,0.042375989,0.036736362,0.032491462,0.030463738,0.027517629,0.023324968,0.021614124,0.021388665,0.020188307,0.017586591,0.016359703,0.016017499,0.014621136,0.013811972,0.013241735
lag 5,,0.140450361,0.083353933,0.063655234,0.053365535,0.044821225,0.040542942,0.035282999,0.029823399,0.026155786,0.024490129,0.020619008,0.020032754,0.018421839,0.017711482,0.016531549,0.015569342,0.015176159,0.013682262,0.013072887
lag 6,,,,0.068915053,0.052583357,0.044108219,0.036184964,0.032390363,0.03065989,0.025909314,0.022805614,0.021354318,0.021005325,0.019836467,0.017238276,0.016581574,0.01504248,0.015799577,0.014513373,0.012654998
lag 7,,,,,,,,0.033479262,0.029011877,0.024637716,0.02455011,0.023479349,0.019412161,0.019174403,0.015959784,0.01583393,0.015211859,0.014532292,0.014288675,0.012599118
lag 8,,,,,,,,,,,,,,,,,0.015514874,0.013933277,0.014426934,0.013718684
