lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000,sample size 6000,sample size 7000,sample size 8000,sample size 9000,sample size 10000,sample size 11000,sample size 12000,sample size 13000,sample size 14000,sample size 15000,sample size 16000,sample size 17000,sample size 18000,sample size 19000,sample size 20000
lag 0,0.1432552749750115,0.07758270156398178,0.05031571531332454,0.037799199128031744,0.027203257255758694,0.024735416762648614,0.02194706414293526,0.018386459865754153,0.01707638551214474,0.01524866372802486,0.013681316657202932,0.012249402970772096,0.012540984113612492,0.01045360162098236,0.009674218789413741,0.009627421327297398,0.009071681144420128,0.00782887454995401,0.007838364507371692,0.007368658398343455
lag 1,0.21043402290120475,0.11602892615819485,0.0770251690154728,0.05644924964627811,0.04918710132764271,0.03554728301405709,0.03257684189890021,0.03078481968857181,0.02589078683967201,0.022645154300248216,0.02100454161965149,0.018614823724211724,0.017316688156357975,0.01696521163053148,0.015090666797725714,0.013189042063777297,0.012979829235822518,0.01293246108854036,0.012233811327586665,0.011752373012581831
lag 2,0.24942767933849802,0.14407637361308417,0.08464400471062905,0.0644625587521747,0.056056862250082384,0.0454975588229363,0.036742754973093074,0.03251799607901781,0.030274364085840368,0.027183537528405032,0.024463057698139352,0.022023134986194116,0.02149279493223325,0.020257800950011593,0.018381613594712954,0.01585143268555927,0.015175215127449388,0.016516294343387562,0.012481332368357712,0.012354442582457749
lag 3,0.28822933133683726,0.13027250753993969,0.08995195883077477,0.06631133500335505,0.05064272871842276,0.04048432033014089,0.041206516386864726,0.033221689950128565,0.027851182012779255,0.02701503648679963,0.023931255562355643,0.021469887404409627,0.02097607396811218,0.018821138061910502,0.018127493939338706,0.01578023869038805,0.015211304692879441,0.0149778724266429,0.01369131619450453,0.01395991917710969
lag 4,0.2618146134792347,0.13722600539491886,0.0954264715691313,0.06409184157282513,0.05379344071386041,0.04152099893234615,0.03691385517860202,0.03488866965424492,0.027287284597598677,0.027604657049180446,0.026553043739003412,0.021761097390540277,0.019689019151349123,0.0179232698640703,0.01910526760900247,0.018045319602170803,0.016230106870876473,0.014824355503784107,0.014305564433389577,0.012807327564232012
lag 5,,0.13765246895900415,0.08555051746805442,0.06550815948595928,0.05340299898543324,0.04555091525347132,0.03676963420408057,0.03397259323176498,0.02858039755915234,0.027045295902483234,0.024108787930507334,0.02080678236076787,0.020132583107802936,0.018853045823781167,0.018260985607493844,0.015812325539313055,0.014900208889972632,0.015279729853035237,0.014030423104013647,0.013210144241313775
lag 6,,,,0.06831178957265513,0.05190700421188311,0.04346639643535541,0.03745848837030403,0.03137891755087271,0.02988209177543826,0.027374438166695655,0.023814450106750377,0.023024834637369106,0.021344381155169474,0.019491108996216606,0.016060978590262023,0.015836502163425456,0.01596615643466247,0.015050842671305444,0.013455942115820225,0.013517203245815942
lag 7,,,,,,,,0.03386657552052945,0.02667990814131921,0.029155573167717014,0.024752766413520408,0.022603617564019747,0.0222744708753909,0.0189808479005033,0.016106689064525653,0.017546033167234187,0.015589647550546244,0.014944752194105912,0.014128331921872826,0.013310984558819421
lag 8,,,,,,,,,,,,,,,,,0.014691241464200146,0.015319630804668229,0.013571890739680884,0.012980972654303792
