lag,sample size 1000,sample size 2000,sample size 3000,sample size 4000,sample size 5000,sample size 6000,sample size 7000,sample size 8000,sample size 9000,sample size 10000,sample size 11000,sample size 12000,sample size 13000,sample size 14000,sample size 15000,sample size 16000,sample size 17000,sample size 18000,sample size 19000,sample size 20000
lag 0,0.143255275,0.077582702,0.050315715,0.037799199,0.027203257,0.024735417,0.021947064,0.01838646,0.017076386,0.015248664,0.013681317,0.012249403,0.012540984,0.010453602,0.009674219,0.009627421,0.009071681,0.007828875,0.007838365,0.007368658
lag 1,0.210434023,0.116028926,0.077025169,0.05644925,0.049187101,0.035547283,0.032576842,0.03078482,0.025890787,0.022645154,0.021004542,0.018614824,0.017316688,0.016965212,0.015090667,0.013189042,0.012979829,0.012932461,0.012233811,0.011752373
lag 2,0.249427679,0.144076374,0.084644005,0.064462559,0.056056862,0.045497559,0.036742755,0.032517996,0.030274364,0.027183538,0.024463058,0.022023135,0.021492795,0.020257801,0.018381614,0.015851433,0.015175215,0.016516294,0.012481332,0.012354443
lag 3,0.288229331,0.130272508,0.089951959,0.066311335,0.050642729,0.04048432,0.041206516,0.03322169,0.027851182,0.027015036,0.023931256,0.021469887,0.020976074,0.018821138,0.018127494,0.015780239,0.015211305,0.014977872,0.013691316,0.013959919
lag 4,0.261814613,0.137226005,0.095426472,0.064091842,0.053793441,0.041520999,0.036913855,0.03488867,0.027287285,0.027604657,0.026553044,0.021761097,0.019689019,0.01792327,0.019105268,0.01804532,0.016230107,0.014824356,0.014305564,0.012807328
lag 5,,0.137652469,0.085550517,0.065508159,0.053402999,0.045550915,0.036769634,0.033972593,0.028580398,0.027045296,0.024108788,0.020806782,0.020132583,0.018853046,0.018260986,0.015812326,0.014900209,0.01527973,0.014030423,0.013210144
lag 6,,,,0.06831179,0.051907004,0.043466396,0.037458488,0.031378918,0.029882092,0.027374438,0.02381445,0.023024835,0.021344381,0.019491109,0.016060979,0.015836502,0.015966156,0.015050843,0.013455942,0.013517203
lag 7,,,,,,,,0.033866576,0.026679908,0.029155573,0.024752766,0.022603618,0.022274471,0.018980848,0.016106689,0.017546033,0.015589648,0.014944752,0.014128332,0.013310985
lag 8,,,,,,,,,,,,,,,,,0.014691241,0.015319631,0.013571891,0.012980973
