,Newey-West,Threshold
0,-4.285092242578802,-7.032630254745872
1,-3.3776896809302706,-5.229262285814517
2,-3.223192553237645,-4.320994042616324
3,-2.8486666896043005,-3.9570394840243495
4,-2.437370542815966,-3.4709211963584927
5,-2.1109861680902746,-3.047068087578104
6,-2.06907419242717,-2.726555618362081
7,-2.0335923427323372,-2.6750694733598657
8,-2.1002696947434387,-2.6991246419877513
9,-1.884017006975892,-2.369558417510099
10,-1.9263301479022097,-2.4621400669124185
11,-1.900437968066214,-2.4899508442437366
12,-2.0204479634396613,-2.445462802974699
13,-1.8884454066899679,-2.284618037117415
14,-1.7790693201182286,-2.1568347643814363
15,-1.6929608688177353,-2.059981719993651
16,-1.672006961626444,-2.1562843965356855
17,-1.6721876944639327,-2.0501503267380983
18,-1.5990261667057304,-2.0165655424369184
19,-1.6810604002488247,-2.0202892773112104
20,-1.5698576716091601,-1.8481364250767065
21,-1.4722842638241396,-1.8623336969182311
22,-1.4533250265998383,-1.8414388561204404
23,-1.4767246955262578,-1.6993202548691997
24,-1.5150710054082204,-1.837766871508034
25,-1.4261474835071297,-1.6948642434374825
26,-1.453967125573179,-1.7811943117114417
27,-1.4602663177973092,-1.7208577040619666
28,-1.5065165811714323,-1.7758587756693558
29,-1.4286294558698849,-1.594705332158668
30,-1.3354258152357268,-1.6343608516860257
31,-1.2731474938409981,-1.617433930522914
32,-1.2937021408764906,-1.4864589101118924
33,-1.3246169894045678,-1.536923063492484
34,-1.3805147676317695,-1.6177887636349553
35,-1.2441169209106313,-1.5179884597973547
36,-1.1506251613315222,-1.4218138016895985
37,-1.1762880701028493,-1.4547878694500653
38,-1.2316469606529417,-1.5273377733725013
39,-1.4151997564152587,-1.4771294080945694
40,-1.4355279053171017,-1.5787931643498148
41,-1.2116319712178019,-1.4476657360899274
42,-1.2523617986975246,-1.3856524876614777
43,-1.2850869469987245,-1.3657328878179946
44,-1.1590839424536448,-1.3971830322790595
45,-1.1704178816645197,-1.3019000080857666
46,-1.1968364661895663,-1.3964154407408351
47,-1.3059692595730787,-1.3779240808275652
48,-1.2243969047305185,-1.251968797781391
49,-1.28229693453385,-1.3698997988491826
50,-1.4245893038442148,-1.386530255753005
51,-1.1483623822922482,-1.303782502127035
52,-1.1106496966883057,-1.2493441992500003
53,-1.1311385949007047,-1.3129032510622984
54,-1.1153760979408105,-1.215369221958312
55,-1.2476212195608873,-1.3005464271169487
56,-1.1173523691636582,-1.2646135629819817
57,-1.1670739710197253,-1.2786874978640128
58,-1.1928102556876645,-1.258664426974292
59,-1.1051281299898967,-1.1914271792114057
60,-0.9652332881481733,-1.0887631749288929
61,-1.1427190830014986,-1.1688620063841633
62,-1.206607663765169,-1.2716307447183617
63,-1.1065033374200475,-1.1437579917672345
64,-1.0705863993692297,-1.1652966134241503
65,-1.1316431282564352,-1.2169807499798075
66,-1.0674229585048494,-1.2108767950089998
67,-0.9903701284577835,-1.0968068457591542
68,-1.090118587060271,-1.1610407949348414
69,-1.111771489482983,-1.188121409678601
70,-1.0308364031985953,-1.1439167810139175
71,-1.0440971673880348,-1.1524988967476197
72,-1.0994853358998498,-1.1885986177049759
73,-1.0529636490396896,-1.1356006334945477
74,-0.9435181797200407,-1.0840235720635114
75,-0.8932202839874357,-0.9914764196410104
76,-1.0823194349310015,-1.1300053130657801
77,-0.9183174164898524,-1.021662943963296
78,-1.0769426999857963,-1.1491315876296113
79,-1.008161988358939,-1.1121146268407855
80,-1.1036377013864005,-1.1419560685412904
81,-1.0087839461922101,-1.018106480752568
82,-1.0150784637526122,-1.0324467920465388
83,-1.0226083357775444,-1.021719551062123
84,-0.9472193390463488,-0.9741970101514141
85,-0.9755461349321699,-1.0874143440887352
86,-0.7780208476506871,-0.8785470832513127
87,-0.94690997153997,-1.0195752737411752
88,-1.0109510984814172,-0.9883045052072852
89,-0.9117708193499432,-0.9698805644044342
90,-0.9122149311765568,-0.9618073395437214
91,-0.9436500506767409,-1.0606123650238928
92,-0.9026705458219979,-0.9206726558319254
93,-0.9105937038728591,-0.9994163708610273
94,-0.9268523547110732,-0.9835104054194552
95,-0.9495340332217701,-1.0129894679300087
96,-0.7887780295318336,-0.8683442579100813
97,-1.1343672361362138,-1.077786868540386
98,-0.9410438524519762,-0.9549235956862496
99,-0.9256533885518365,-0.9987876583529953
