lag,gaussian,bernoulli,average
lag 121,2266.388967,2258.748432,2262.5687
lag 122,2255.422282,2292.611871,2274.017077
lag 123,2262.905493,2263.749498,2263.327496
lag 124,2259.278436,2272.83421,2266.056323
lag 125,2270.028186,2270.033335,2270.030761
lag 126,2264.456063,2261.32737,2262.891716
lag 127,2269.755436,2262.355953,2266.055695
lag 128,2274.331322,2289.853815,2282.092568
lag 129,2256.979335,2279.540173,2268.259754
lag 130,2273.269262,2257.144614,2265.206938
lag 131,2258.809753,2254.223155,2256.516454
lag 132,2250.345576,2266.380168,2258.362872
lag 133,2246.331593,2269.6442,2257.987896
lag 134,2263.466383,2260.549392,2262.007888
lag 135,2289.05257,2263.155924,2276.104247
lag 136,2252.375219,2282.550985,2267.463102
lag 137,2252.8804,2251.375381,2252.127891
lag 138,2259.865462,2250.621389,2255.243426
lag 139,2270.088398,2258.235301,2264.161849
lag 140,2270.526412,2256.906743,2263.716577
lag 141,2260.687134,2264.201008,2262.444071
lag 142,2248.670935,2245.37624,2247.023587
lag 143,2257.489236,2270.274044,2263.88164
lag 144,2248.036035,2261.690469,2254.863252
lag 145,2279.416961,2274.860878,2277.13892
lag 146,2263.538346,2279.249866,2271.394106
lag 147,2276.815858,2249.114242,2262.96505
lag 148,2263.302666,2260.50766,2261.905163
lag 149,2281.51123,2272.255738,2276.883484
lag 150,2259.310989,2245.43731,2252.37415
lag 151,2241.146,2252.363577,2246.754788
lag 152,2244.921561,2259.201936,2252.061749
lag 153,2237.811271,2246.368024,2242.089648
lag 154,2237.20343,2259.686427,2248.444929
lag 155,2229.095354,2252.084008,2240.589681
lag 156,2271.592808,2264.785619,2268.189213
lag 157,2269.198583,2252.772062,2260.985322
lag 158,2256.888416,2262.510801,2259.699609
lag 159,2228.657196,2260.070289,2244.363742
lag 160,2259.327696,2254.012778,2256.670237
lag 161,2247.510618,2248.270906,2247.890762
lag 162,2272.347765,2237.408016,2254.877891
lag 163,2265.958991,2247.279208,2256.619099
lag 164,2260.972513,2268.626863,2264.799688
lag 165,2274.059295,2257.056761,2265.558028
lag 166,2245.10452,2240.797163,2242.950841
lag 167,2262.995707,2259.282613,2261.13916
lag 168,2267.387634,2267.693983,2267.540809
lag 169,2281.158946,2270.792921,2275.975933
lag 170,2280.202104,2266.78079,2273.491447
lag 171,2264.381762,2256.722479,2260.552121
lag 172,2249.957416,2249.543387,2249.750402
lag 173,2269.543933,2255.514779,2262.529356
lag 174,2254.620705,2278.349928,2266.485316
lag 175,2253.096349,2258.668821,2255.882585
lag 176,2252.562283,2253.451849,2253.007066
lag 177,2246.250054,2256.90455,2251.577302
lag 178,2262.909102,2239.709596,2251.309349
lag 179,2232.074502,2271.438,2251.756251
lag 180,2248.230699,2245.224799,2246.727749
lag 181,2240.634021,2258.13782,2249.38592
lag 182,2268.888116,2252.227761,2260.557939
lag 183,2235.945248,2248.210179,2242.077713
lag 184,2247.15341,2253.020886,2250.087148
lag 185,2254.471326,2224.894316,2239.682821
lag 186,2250.906819,2254.116621,2252.51172
lag 187,2263.660758,2249.959856,2256.810307
lag 188,2272.648337,2271.135117,2271.891727
lag 189,2272.989932,2266.341735,2269.665834
lag 190,2236.313048,2256.566751,2246.4399
lag 191,2281.987478,2251.34179,2266.664634
lag 192,2233.376359,2258.469872,2245.923115
lag 193,2267.992384,2276.321295,2272.156839
lag 194,2258.156541,2274.200975,2266.178758
lag 195,2246.788765,2254.833437,2250.811101
lag 196,2248.855263,2251.9772,2250.416231
lag 197,2243.211102,2261.152691,2252.181897
lag 198,2245.710035,2251.98887,2248.849453
lag 199,2266.933113,2235.076618,2251.004865
lag 200,2259.812781,2243.116767,2251.464774
lag 201,2268.911276,2242.896265,2255.90377
lag 202,2253.178331,2242.651796,2247.915063
lag 203,2252.072963,2241.962429,2247.017696
lag 204,2256.151102,2244.82856,2250.489831
lag 205,2260.352226,2260.123838,2260.238032
lag 206,2248.8276,2257.444867,2253.136234
lag 207,2275.330905,2252.920328,2264.125616
lag 208,2272.599098,2250.216272,2261.407685
lag 209,2265.450541,2242.428545,2253.939543
lag 210,2267.420895,2237.835762,2252.628329
lag 211,2241.846202,2261.930151,2251.888177
lag 212,2230.461042,2240.558409,2235.509726
lag 213,2265.596775,2246.90737,2256.252073
lag 214,2254.175211,2246.805247,2250.490229
lag 215,2259.579722,2231.628485,2245.604103
lag 216,2237.503791,2254.348598,2245.926195
lag 217,2231.333081,2248.555621,2239.944351
lag 218,2248.883605,2253.75822,2251.320913
lag 219,2248.728211,2255.704821,2252.216516
lag 220,2242.460232,2254.401771,2248.431002
lag 221,2231.729921,2245.01896,2238.374441
lag 222,2248.468745,2245.428476,2246.948611
lag 223,2256.766018,2241.140754,2248.953386
lag 224,2245.304115,2262.043074,2253.673594
lag 225,2252.020947,2257.272483,2254.646715
lag 226,2241.400843,2237.366785,2239.383814
lag 227,2270.616788,2241.782261,2256.199525
lag 228,2240.603477,2263.417115,2252.010296
lag 229,2236.944258,2259.948469,2248.446364
lag 230,2251.823266,2247.152916,2249.488091
lag 231,2252.58907,2231.606082,2242.097576
lag 232,2239.108992,2237.650218,2238.379605
lag 233,2245.720674,2248.138413,2246.929543
lag 234,2245.758073,2238.451454,2242.104764
lag 235,2246.239544,2252.182756,2249.21115
lag 236,2238.625465,2232.9227,2235.774083
lag 237,2240.498385,2255.408709,2247.953547
lag 238,2231.765364,2245.1913,2238.478332
lag 239,2270.162003,2263.790467,2266.976235
lag 240,2252.06519,2234.282416,2243.173803
lag 241,2245.457687,2243.390275,2244.423981
lag 242,2241.864559,2238.494896,2240.179728
lag 243,2238.549106,2237.938726,2238.243916
lag 244,2221.945421,2247.510825,2234.728123
lag 245,2247.794141,2256.967961,2252.381051
lag 246,2240.114057,2242.171962,2241.143009
lag 247,2230.178306,2253.860741,2242.019524
lag 248,2236.414115,2253.276465,2244.84529
lag 249,2264.606686,2221.324422,2242.965554
lag 250,2249.866986,2242.235011,2246.050999
lag 251,2233.895628,2245.534786,2239.715207
lag 252,2246.926431,2255.381459,2251.153945
lag 253,2215.024666,2235.378356,2225.201511
lag 254,2232.472439,2243.069268,2237.770854
lag 255,2240.611136,2250.894322,2245.752729
lag 256,2239.378112,2237.79525,2238.586681
lag 257,2255.481612,2241.485626,2248.483619
lag 258,2235.168639,2256.954924,2246.061781
lag 259,2249.762017,2234.484591,2242.123304
lag 260,2266.499794,2246.334818,2256.417306
lag 261,2246.128526,2246.345475,2246.237
lag 262,2241.800994,2254.841367,2248.321181
lag 263,2259.353367,2243.044901,2251.199134
lag 264,2235.084198,2245.443345,2240.263771
lag 265,2238.78392,2247.252508,2243.018214
lag 266,2225.524155,2234.971263,2230.247709
lag 267,2256.534196,2240.132075,2248.333135
lag 268,2235.155586,2256.598887,2245.877236
lag 269,2206.944121,2230.865368,2218.904744
lag 270,2240.463253,2251.712836,2246.088045
lag 271,2238.516308,2244.001991,2241.259149
lag 272,2232.674066,2247.816281,2240.245174
lag 273,2208.856549,2228.422614,2218.639582
lag 274,2234.2781,2238.387986,2236.333043
lag 275,2227.869032,2241.009429,2234.439231
lag 276,2227.923493,2254.557706,2241.240599
lag 277,2243.94648,2231.117629,2237.532055
lag 278,2232.341109,2238.160192,2235.25065
lag 279,2255.588329,2237.420032,2246.504181
lag 280,2231.148514,2233.734463,2232.441489
lag 281,2224.718336,2250.271775,2237.495056
lag 282,2239.463237,2237.224843,2238.34404
lag 283,2240.544166,2232.03788,2236.291023
lag 284,2230.911049,2248.228548,2239.569798
lag 285,2230.96197,2249.873366,2240.417668
lag 286,2249.154384,2240.84969,2245.002037
lag 287,2232.849085,2236.369262,2234.609174
lag 288,2230.26443,2235.798307,2233.031369
lag 289,2254.982793,2270.424595,2262.703694
lag 290,2230.9728,2245.797803,2238.385302
lag 291,2238.83843,2248.144143,2243.491286
lag 292,2234.303948,2219.675224,2226.989586
lag 293,2244.361142,2237.539308,2240.950225
lag 294,2231.604649,2241.40521,2236.50493
lag 295,2240.380348,2240.372824,2240.376586
lag 296,2239.311663,2226.632602,2232.972133
lag 297,2224.987878,2245.691526,2235.339702
lag 298,2227.797552,2230.044794,2228.921173
lag 299,2224.760466,2235.263064,2230.011765
lag 300,2238.441131,2250.784527,2244.612829
