,sample size 1000,sample size 2000,sample size 3000
lag 0,0.040137928931553414,0.1217730694506567,0.009162418864988362
lag 1,0.20821345695180557,0.0008355498075738153,0.06448174729620286
lag 2,0.34394661813370636,0.11035709968297823,0.07282125338802743
lag 3,0.18401354742817977,0.012420557285231934,0.06879606014272822
lag 4,0.1472315558541992,0.10439575883734976,0.09269976414294084
lag 5,,0.1802164816312262,0.01310752481604739
