lag,gaussian,bernoulli,average
lag 140,227.278078,222.5688811,224.9234796
lag 141,228.4177546,226.4874361,227.4525954
lag 142,223.4504286,229.9395862,226.6950074
lag 143,226.3726236,222.1354063,224.2540149
lag 144,220.3297171,230.8132636,225.5714904
lag 145,227.4451981,223.1684125,225.3068053
lag 146,222.1680215,228.0373962,225.1027088
lag 147,222.9356558,227.2859486,225.1108022
lag 148,225.136107,235.5343453,230.3352262
lag 149,232.3300305,215.6676887,223.9988596
lag 150,231.719294,228.7674731,230.2433835
lag 151,226.524686,224.1633017,225.3439938
lag 152,224.8880062,220.2288711,222.5584386
lag 153,229.3712001,226.3376033,227.8544017
lag 154,224.6264738,222.8977504,223.7621121
lag 155,231.9135901,220.7193152,226.3164527
lag 156,224.439873,212.9879144,218.7138937
lag 157,214.4387276,227.9922021,221.2154648
lag 158,221.5850477,222.9114062,222.2482269
lag 159,224.1008864,222.3314482,223.2161673
lag 160,218.4717264,222.5200078,220.4958671
lag 161,218.3761742,221.8221578,220.099166
lag 162,219.3974272,225.0738403,222.2356338
lag 163,228.2344878,220.377312,224.3058999
lag 164,221.1326086,218.7994607,219.9660346
lag 165,220.7197926,221.9729345,221.3463635
lag 166,220.1231232,218.9942829,219.5587031
lag 167,220.4588717,225.1613913,222.8101315
lag 168,221.7546207,226.9636796,224.3591502
lag 169,221.1980411,223.4015184,222.2997797
lag 170,227.6796387,221.2584092,224.469024
lag 171,221.7652527,217.9718952,219.8685739
lag 172,219.5220255,228.6269663,224.0744959
lag 173,229.6140965,228.7596148,229.1868557
lag 174,229.3833302,215.8293038,222.606317
lag 175,218.7984267,215.0274366,216.9129317
lag 176,221.2886025,222.9359627,222.1122826
lag 177,229.8380597,222.6404712,226.2392654
lag 178,222.3712376,220.6554016,221.5133196
lag 179,227.7476056,219.7268244,223.737215
lag 180,228.525457,219.3045855,223.9150212
lag 181,218.5840832,216.0183063,217.3011947
lag 182,226.812308,219.0086051,222.9104565
lag 183,229.9905182,217.5799583,223.7852383
lag 184,223.2452011,222.1454937,222.6953474
lag 185,219.3712928,215.0968358,217.2340643
lag 186,224.2281062,221.1297116,222.6789089
lag 187,221.5070542,212.8051156,217.1560849
lag 188,217.6745738,221.8405579,219.7575659
lag 189,218.5406776,215.3602114,216.9504445
lag 190,222.9824473,215.5576175,219.2700324
lag 191,217.0590143,214.6409147,215.8499645
lag 192,216.5856433,217.7435006,217.1645719
lag 193,213.6851868,211.9301112,212.807649
lag 194,220.1506912,214.1768557,217.1637734
lag 195,218.26634,221.0412718,219.6538059
lag 196,213.5984244,226.5772563,220.0878403
lag 197,222.2325821,219.0285302,220.6305562
lag 198,221.9318927,226.1759606,224.0539266
lag 199,207.9263524,227.1084059,217.5173791
