lag,gaussian,bernoulli,average
lag 77,9115.737294619807,9352.637891765762,9234.187593192784
lag 78,9260.47078161075,9105.9806078828,9183.225694746776
lag 79,9100.651614197477,9253.09029913972,9176.870956668598
lag 80,9522.141194499054,9360.164543455128,9441.152868977091
lag 81,8870.688614446717,9353.405281150885,9112.0469477988
lag 82,8960.344062550977,9114.07075452107,9037.207408536024
lag 83,9157.374036198675,9202.986817387287,9180.18042679298
lag 84,9232.229086561272,9384.08980322555,9308.159444893412
lag 85,9047.792218917859,9284.831493571068,9166.311856244463
lag 86,8928.101014461758,9370.492702820118,9149.296858640937
lag 87,9248.555679638794,9454.096975174654,9351.326327406725
lag 88,9325.506486062824,9484.855581206737,9405.18103363478
lag 89,8913.995571315962,8754.400766420595,8834.198168868279
lag 90,8863.80112075105,9331.913005677245,9097.857063214147
lag 91,8994.007440309064,8921.692290716106,8957.849865512584
lag 92,8824.981838991473,9161.355086584123,8993.168462787798
lag 93,8907.044445256173,9146.590361459752,9026.817403357963
lag 94,9188.952312063711,8812.343477451992,9000.64789475785
lag 95,9128.829470397139,9219.637484000625,9174.233477198883
lag 96,9231.244409061817,9111.121359101016,9171.182884081416
lag 97,9148.927557655912,8973.391995853051,9061.15977675448
lag 98,9019.1335314751,9187.75540063712,9103.44446605611
lag 99,9505.452022018982,9397.503553662817,9451.4777878409
lag 100,8771.182782086773,9132.287976866479,8951.735379476626
lag 101,9188.042216819424,9129.826430687806,9158.934323753616
lag 102,9358.71189256121,9068.499063363699,9213.605477962454
lag 103,8977.24652912193,9115.681033578796,9046.463781350363
lag 104,9126.721254581515,8653.730319260514,8890.225786921015
lag 105,8964.50339665762,9050.209886138799,9007.356641398208
lag 106,9218.58808269404,8950.880243484557,9084.734163089299
lag 107,8785.341413911625,9043.698798429154,8914.520106170388
lag 108,9134.292150269455,8942.748946692867,9038.520548481161
lag 109,9166.998470002107,8997.841488045571,9082.419979023838
lag 110,8878.5627638158,8850.327529445549,8864.445146630675
lag 111,8968.261205529296,8849.917927919058,8909.089566724177
lag 112,9174.743391302738,8767.124129854836,8970.933760578788
lag 113,9053.002539897838,9245.35683208753,9149.179685992684
lag 114,8726.705866955022,9142.99418476857,8934.850025861797
