,Newey-West,Threshold
0,24.78838302766384,61.12419267999822
1,15.46180114667249,32.49984099376124
2,13.777966436108144,22.54779237646146
3,11.26166200376419,19.0575413584105
4,8.99228645530501,15.165664642267854
5,7.034106374332919,12.221475467726696
6,6.413331932656565,9.772460497627877
7,6.4609147615337985,9.0717919517967
8,5.975448644218866,8.776284863100958
9,5.169179191875512,7.089300198981034
10,5.33824740925831,7.385399181109063
11,5.338729963073714,7.597045850613251
12,6.028633820510422,7.243248436152378
13,4.820034962843472,6.222776180179455
14,4.485108532139809,5.694699256021483
15,4.271784260857118,5.424633667269639
16,4.263459610017609,5.840202113629038
17,4.050843615304592,5.4068967043759315
18,3.6632702880417196,5.18421039460532
19,3.7459593358899883,4.997004771315012
20,3.4556744105165853,4.314172503356331
21,3.3343392186405976,4.444729202983905
22,3.4669214555991523,4.336148727878985
23,3.0026731241665563,3.534151027920938
24,3.3286902567459697,4.146654809806663
25,2.8521797790417054,3.521875878063204
26,3.0668101721358716,3.969936526330173
27,3.047452949558466,3.571161275537345
28,3.131249850199783,3.784191719149245
29,2.8541531527411688,3.1641775270218586
30,2.710893481312043,3.3962002296024334
31,2.511556260987903,3.310485220841357
32,2.5061717503602763,2.9321360855493426
33,2.4865146157967626,2.9067536773119182
34,2.678922528140834,3.1739974631591354
35,2.242381574197704,2.8969972422273726
36,2.039489627870417,2.5936101616755245
37,2.09864648228752,2.7079099675376774
38,2.4538545441054413,2.9959559207376083
39,2.634721392773676,2.7228031473114513
40,2.6703135890985394,2.9388418753359464
41,2.0894276643268777,2.561796694145166
42,2.2592641630786345,2.524380723605177
43,2.618439708583561,2.516152723534802
44,2.1748950110481022,2.596006852141075
45,2.0546467944897597,2.1952293247679444
46,1.9578517173404237,2.377161695632823
47,2.268447381333486,2.386299672553256
48,2.3959185089476778,2.1063160092199067
49,2.376159827999102,2.307417038847811
50,2.582375019121688,2.3205405808694333
51,1.9086987608354715,2.1287940639214598
52,1.7412379251397032,1.913091834916142
53,1.827599405099951,2.111365371511419
54,1.7747382461949093,1.74428839039054
55,2.0743499350455057,2.1233825044604258
56,1.7756670129873768,1.870602643938175
57,1.9467269450989162,2.052989661432852
58,1.9569550563556453,1.887792230263077
59,1.7675143314431607,1.8099892177959322
60,1.526276772585508,1.5448827990617604
61,1.840196792233451,1.6947467742428117
62,2.0766020377526284,1.8954718778509902
63,1.8398574189416743,1.7128691496308703
64,1.5705899797735352,1.625071401816096
65,1.8286792537855683,1.7377147028059547
66,1.809063446243191,1.8081188429881048
67,1.5133741856607423,1.4394675828736163
68,1.7806381359333403,1.6731198502529956
69,1.853636547711681,1.7736852800000964
70,1.5212889785998511,1.5209896936052463
71,1.6139460641961874,1.6153432208148366
72,1.7140812131301468,1.6898847619683042
73,1.5622882086672845,1.5424247671292528
74,1.3083323609981008,1.4142376294240933
75,1.3133924570473392,1.2837022902942414
76,1.6239012004691076,1.538759481028763
77,1.375217492288893,1.3258932901038127
78,1.6319708214851076,1.5862989798999392
79,1.523956481265682,1.486666220010132
80,1.7353831571173686,1.5158247221520238
81,1.51466362664869,1.2423566469196647
82,1.4463096258409005,1.3329688567787352
83,1.4918078553449918,1.2883984901397612
84,1.521347382858192,1.305151383622304
85,1.3628333146392446,1.4703290200359214
86,0.9871954970721284,1.0041325474598346
87,1.3447626882710626,1.3538401473505388
88,1.4653349051585771,1.238586790923485
89,1.2772996606665297,1.2602756856699455
90,1.3121990464824669,1.268545532807583
91,1.2980211584356522,1.400636232689292
92,1.1921022221990178,1.0880427773570476
93,1.3161547901895165,1.2986874567964437
94,1.2875973369804585,1.2471391582415845
95,1.3228177938303656,1.2618827431498996
96,1.045163887512164,1.0346071832101713
97,1.5997054160820416,1.3899058488870066
98,1.2166239426648706,1.1479822535861604
99,1.2657351346990717,1.282129621994434
