,Newey-West,Threshold
0,17.04824109075453,14.30070307858746
1,17.95564365240306,16.104071047518815
2,18.110140780095687,17.01233929071701
3,18.48466664372903,17.376293849308983
4,18.895962790517366,17.86241213697484
5,19.222347165243058,18.286265245755228
6,19.264259140906162,18.60677771497125
7,19.299740990600995,18.658263859973466
8,19.233063638589893,18.63420869134558
9,19.44931632635744,18.963774915823233
10,19.407003185431122,18.871193266420914
11,19.432895365267118,18.843382489089596
12,19.31288536989367,18.887870530358633
13,19.444887926643364,19.048715296215917
14,19.554264013215104,19.176498568951896
15,19.640372464515597,19.27335161333968
16,19.66132637170689,19.177048936797647
17,19.6611456388694,19.283183006595234
18,19.7343071666276,19.316767790896414
19,19.652272933084507,19.31304405602212
20,19.763475661724172,19.485196908256626
21,19.861049069509193,19.4709996364151
22,19.880008306733494,19.49189447721289
23,19.856608637807074,19.634013078464132
24,19.818262327925112,19.495566461825298
25,19.907185849826202,19.63846908989585
26,19.879366207760153,19.55213902162189
27,19.873067015536023,19.612475629271366
28,19.8268167521619,19.557474557663976
29,19.904703877463447,19.738628001174664
30,19.997907518097605,19.698972481647306
31,20.060185839492334,19.715899402810418
32,20.03963119245684,19.84687442322144
33,20.008716343928764,19.796410269840848
34,19.952818565701563,19.715544569698377
35,20.0892164124227,19.815344873535977
36,20.18270817200181,19.911519531643734
37,20.157045263230483,19.878545463883267
38,20.10168637268039,19.80599555996083
39,19.918133576918073,19.856203925238763
40,19.89780542801623,19.754540168983517
41,20.12170136211553,19.885667597243405
42,20.080971534635808,19.947680845671854
43,20.048246386334608,19.967600445515338
44,20.174249390879687,19.936150301054273
45,20.162915451668812,20.031433325247566
46,20.136496867143766,19.936917892592497
47,20.027364073760253,19.955409252505767
48,20.108936428602814,20.08136453555194
49,20.051036398799482,19.96343353448415
50,19.908744029489117,19.946803077580327
51,20.184970951041084,20.029550831206297
52,20.222683636645026,20.083989134083332
53,20.202194738432627,20.020430082271034
54,20.21795723539252,20.11796411137502
55,20.085712113772445,20.032786906216383
56,20.215980964169674,20.06871977035135
57,20.166259362313607,20.05464583546932
58,20.140523077645668,20.07466890635904
59,20.228205203343435,20.141906154121926
60,20.36810004518516,20.24457015840444
61,20.190614250331834,20.16447132694917
62,20.126725669568163,20.06170258861497
63,20.226829995913285,20.189575341566098
64,20.262746933964102,20.168036719909182
65,20.201690205076897,20.116352583353525
66,20.265910374828483,20.122456538324332
67,20.34296320487555,20.236526487574178
68,20.24321474627306,20.17229253839849
69,20.22156184385035,20.14521192365473
70,20.302496930134737,20.189416552319415
71,20.289236165945297,20.180834436585712
72,20.233847997433482,20.144734715628356
73,20.280369684293643,20.197732699838784
74,20.38981515361329,20.24930976126982
75,20.440113049345896,20.34185691369232
76,20.25101389840233,20.203328020267552
77,20.41501591684348,20.311670389370036
78,20.256390633347536,20.18420174570372
79,20.325171344974393,20.221218706492547
80,20.22969563194693,20.19137726479204
81,20.324549387141122,20.315226852580764
82,20.31825486958072,20.300886541286793
83,20.310724997555788,20.31161378227121
84,20.386113994286983,20.359136323181918
85,20.357787198401162,20.245918989244597
86,20.555312485682645,20.45478625008202
87,20.386423361793362,20.313758059592157
88,20.322382234851915,20.345028828126047
89,20.42156251398339,20.363452768928898
90,20.421118402156775,20.37152599378961
91,20.38968328265659,20.27272096830944
92,20.430662787511334,20.412660677501407
93,20.422739629460473,20.333916962472305
94,20.40648097862226,20.349822927913877
95,20.383799300111562,20.320343865403323
96,20.5445553038015,20.46498907542325
97,20.19896609719712,20.255546464792946
98,20.392289480881356,20.378409737647083
99,20.407679944781496,20.334545674980337
